"Symbol","StkShortName","IPODate","Ownership","DelistedDate","Board","IndustryNameB","IndustryCodeB","IndustryNameA","IndustryCodeA","RegisterCapital","BusinessScope"
"000001","平安银行","1991-04-03","私营企业","","主板","货币金融服务","J66","金融","0001","5123350416","办理人民币存、贷、结算、汇兑业务；人民币票据承兑和贴现；各项信托业务；经监管机构批准发行或买卖人民币有价证券；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；外汇存款、汇款；境内境外借款；从事同业拆借；外汇借款；外汇担保；在境内境外发行或代理发行外币有价证券；买卖或代客买卖外汇及外币有价证券、自营外汇买卖；贸易、非贸易结算；办理国内结算；国际结算；外币票据的承兑和贴现；外汇贷款；资信调查、咨询、见证业务；保险兼业代理业务；代理收付款项；黄金进口业务；提供信用证服务及担保；提供保管箱服务；外币兑换；结汇、售汇；信用卡业务；经有关监管机构批准或允许的其他业务。"
"000002","万科A","1991-01-29","国营或国有控股","","主板","房地产业","K70","房地产","0003","10995210218","兴办实业(具体项目另行申报);国内商业;物资供销业(不含专营、专控、专卖商品);进出口业务(按深经发审证字第113号外贸企业审定证书规定办理);房地产开发。控股子公司主营业务包括房地产开发、物业管理、投资咨询等。"
"000003","PT 金田A","1991-07-03","国营或国有控股","2002-06-14","主板","综合","S90","综合","0004","333433584","房地产，纺织工业，进出口贸易，高新技术开发等。"
"000004","国华网安","1991-01-14","私营企业","","主板","软件和信息技术服务业","I65","公用事业","0002","165052625","信息传输、软件和信息技术服务;计算机软件、信息系统软件的开发、销售;信息系统设计、集成、运行维护;信息技术咨询;集成电路设计、研发;计算机、软件及辅助设备的销售;自有物业租赁;机械设备租赁(不配备操作人员的机械设备租赁,不包括金融租赁活动);计算机及通讯设备租赁;企业形象策划;信息咨询(不含限制项目);经济信息咨询(不含限制项目);贸易咨询;企业管理咨询(不含限制项目);商务信息咨询;商业信息咨询;投资兴办实业(具体项目另行申报);投资咨询(不含限制项目)。"
"000005","世纪星源","1990-12-10","中外合资","","主板","生态保护和环境治理业","N77","公用事业","0002","914333607","房地产、酒店、物业管理、商务咨询、顾问、计算机软件开发、投资及其它第三产业。"
"000006","深振业A","1992-04-27","国营或国有控股","","主板","房地产业","K70","房地产","0003","1285709568","土地开发、房产销售及租赁、物业管理。本公司主业为房地产开发与经营"
"000007","全新好","1992-04-13","私营企业","","主板","房地产业","K70","房地产","0003","346448044","投资兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁;环保产品的技术开发;信息咨询(不含限制项目);项目投资;矿业投资;矿产品的销售(不含专营、专控、专卖商品),经营进出口业务(法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营);投资金融服务项目并进行投资管理(不得从事证券投资活动;不得以公开方式募集资金开展投资活动;不得从事公开募集基金管理业务);从事其他投资与投资管理。"
"000008","神州高铁","1992-05-07","私营企业","","主板","铁路、船舶、航空航天和其它运输设备制造业","C37","工业","0005","2809078279","轨道交通、计算机网络的技术开发、技术咨询、技术转让、技术服务;销售开发后的产品;计算机系统服务;货物进出口;技术进出口;代理进出口;项目投资;物业管理。(依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动。)"
"000009","中国宝安","1991-06-25","国营或国有控股","","主板","综合","S90","综合","0004","1090750529","房地产开发经营、投资生物医药等。"
"000010","美丽生态","1995-10-27","私营企业","","主板","土木工程建筑业","E48","房地产","0003","147017448","高新技术项目的开发及相关产品的技术服务,计算机网络系统工程、计算机软、硬件的技术开发、生产(具体项目另行申报)、安装及系统集成,电子技术产品的技术开发、生产,信息咨询服务(以上不含限制项目);相关产品的销售及其他国内商业、物资供销业(不含专营、专控、专卖商品);投资兴办实业、高科技项目(具体项目另行申报)。经营深贸管审证字第207号《审定书》规定的进出口项目。房地产开发经营(福田区B405-0213地块)。"
"000011","深物业A","1992-03-30","国营或国有控股","","主板","房地产业","K70","房地产","0003","595979092","房地产开发及经营、物业管理、物业租赁、建筑设计、施工监理、汽车客运、商业、餐饮旅游。"
"000012","南玻A","1992-02-28","国营或国有控股","","主板","非金属矿物制品业","C30","工业","0005","2075335560","进行平板玻璃、工程玻璃等节能建筑材料，硅材料、光伏组件等可再生能源产品及精细玻璃、结构陶瓷等新型材料和高科技产品的生产、制造和销售（涉及生产许可证、环保批文的项目由各子公司另行申报），为各子公司提供经营决策、管理咨询、市场信息、技术支持与岗位培训等方面的相关协调和服务。"
"000013","*ST 石化A","1992-05-06","国营或国有控股","2004-09-20","主板","批发业","F51","商业","0006","303354979","化工新材料、精细化工、生物工程、化纤、塑料加工及相关产品的开发、销售；高新科技产品的开发；投资兴办实业自营和代理第二第三类商品出口及省内进口业务；进出口商品的内销。"
"000014","沙河股份","1992-06-02","国营或国有控股","","主板","房地产业","K70","房地产","0003","201705187","在合法取得土地使用权范围内从事房地产开发经营业务；物业租赁业；国内商业，物资供销业（不含专营、专控、专卖商品）；兴办实业（具体项目另报）。"
"000015","PT 中浩A","1992-06-25","私营企业","2001-10-25","主板","综合","S90","综合","0004","157213420","房地产开发、食品饮料、电子产品、化妆品、餐饮业等。"
"000016","深康佳A","1992-03-27","国营或国有控股","","主板","计算机、通信和其他电子设备制造业","C39","工业","0005","1203972704","研究开发、生产经营电视机、冰箱、洗衣机、日用小家电等家用电器产品，家庭视听设备，IPTV机顶盒，数字电视接收器（含卫星电视广播地面接收设备），数码产品，移动通信设备及终端产品，日用电子产品，汽车电子产品，卫星导航系统，智能交通系统，防火防盗报警系统，办公设备，电子计算机，显示器，大屏幕显示设备的制造和应用服务，LED（OLED）背光源、照明、发光器件制造及封装，生产经营电子元件、器件，模具，塑胶制品，各类包装材料，并从事相关产品的技术咨询和服务（上述经营范围中的生产项目，除移动电话外，其余均在异地生产）。从事以上所述产品（含零配件）的批发、零售、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请），销售自行开发的技术成果，提供电子产品的维修、培训、咨询等售后配套服务，普通货物运输，国内货运代理，仓储服务，企业管理咨询服务，自有物业租赁和物业管理业务，废旧电器电子产品回收（不含拆解）（由分支机构经营），以承接服务外包方式从事系统应用管理和维护、信息技术支持管理、银行后台服务、财务结算、人力资源服务、软件开发、呼叫中心、数据处理等信息技术和业务流程外包服务。"
"000017","*ST 中华A","1992-03-31","中外合资","","主板","铁路、船舶、航空航天和其它运输设备制造业","C37","工业","0005","551347947","中华公司主营业务为自行车及零配件的生产和销售。"
"000018","神城A退","1992-06-16","私营企业","2020-01-07","主板","建筑装饰和其他建筑业","E50","综合","0004","169142356","生产经营纺织工业品及所需要的原材料、辅料、机械设备、各种面料服装，并提供相关服务（不含现行许可证管理产品，有许可证按许可证执行）产品70%外销。"
"000019","深粮控股","1992-10-12","国营或国有控股","","主板","批发业","F51","商业","0006","1152535254","一般经营项目:粮油收购和销售、粮油储备;粮油及制品经营及加工;生产茶叶、茶制品、茶及天然植物提取物、食品罐头、饮料、土产品(生产场所营业执照另行申办);饲料的经营及加工(以外包的方式经营);粮油物流、饲料物流、茶园等项目投资、经营管理及开发;饲料、茶叶销售;仓储服务;粮食流通服务;现代粮食供应链服务;粮油、茶、植物产品、软饮料和食品的技术开发、技术服务;电子商务及信息化建设,信息技术开发及配套服务;投资兴办实业(具体项目另行申报);国内贸易;经营进出口业务;在合法取得使用权的土地上从事房地产开发经营;自有物业的开发、经营、租售、管理;物业管理;为酒店提供管理服务。(以上涉及国家法律、行政法规、国务院决定规定须报经审批的项目,须经审批后方可经营)。许可证经营项目:预包装食品(不含复热预包装食品)的批发(非实物方式);信息服务业务(仅限互联网信息服务业务);普通货运、专业运输(冷藏保鲜)。"
"000020","深华发A","1992-04-28","中外合资","","主板","计算机、通信和其他电子设备制造业","C39","工业","0005","283161227","生产经营各种彩色电视机、液晶显示器、液晶显示屏（在分支机构生产经营）、收录机、音响设备、电子表、电子游戏机、电脑等各类电子产品及配套的印刷线路板、精密注塑件、轻型包装材料（在武汉生产经营）、五金件（含工模具），电镀及表面处理、焊锡丝，房地产开发经营（深房地字第7226760号），物业管理。"
"000021","深科技","1994-02-02","国营或国有控股","","主板","计算机、通信和其他电子设备制造业","C39","工业","0005","1319277781","开发、生产、经营计算机软、硬件系统及其外部设备、通讯设备、电子仪器仪表及其零部件、原器件、接插件和原材料，生产、经营家用商品电脑及电子玩具（以上生产项目均不含限制项目）；金融计算机软件模型的制作和设计、精密模具CAD/CAM技术、节能型自动化机电产品和智能自动化控制系统、办公自动化设备、激光仪器、光电产品及金卡系统、光通讯系统和信息网络系统的技术开发和安装工程；商用机器（含税控设备、税控系统）、机顶盒、表计类产品（水表、气表等）、网络多媒体产品的开发、设计、生产、销售及服务；金融终端设备的开发、设计、生产、销售、技术服务、售后服务及系统集成；经营进出口业务；普通货运；房屋、设备及固定资产租赁。"
"000022","深赤湾A","1993-05-05","中外合资","2018-12-25","主板","水上运输业","G55","公用事业","0002","1922365124","港口码头建设、管理和经营;进出口各类货物保税仓储业务;港口配套园区的开发、建设和运营;国际、国内货物的装卸、中转、仓储、运输,货物加工处理;集装箱拆拼箱、清洗、修理、制造和租赁;国际货运代理;租车租船业务;为船舶提供燃物料、生活品供应等船舶港口服务;船舶拖带(不得使用外国籍船舶经营);港口设施、设备和港口机械的租赁、维修服务;自营和代理各类货物和技术的进出口,但国家限制或禁止进出口的货物和技术除外;港口物流及港口信息技术咨询服务;现代物流信息系统的技术开发、技术服务;供应链管理及相关配套服务;物流方案设计;工程项目管理;港务工程技术的开发、研究、咨询服务。(依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动)。"
"000023","深天地A","1993-04-29","私营企业","","主板","非金属矿物制品业","C30","工业","0005","138756240","商品混凝土及其原材料的生产、销售（具体生产场地执照另行申办）；水泥制品的生产、销售（具体生产场地执照另行申办）；在合法取得土地使用权的地块上从事房地产开发；物流服务；普通货运，货物专用运输（罐式）（道路运输经营许可证有效期至2014年12月31日）；机电设备维修；物业管理；投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品及限制项目）；经营进出口业务（按深府办函[1994]278号文执行）。"
"000024","招商地产","1993-06-07","国营或国有控股","2015-12-30","主板","房地产业","K70","房地产","0003","1717300503","房地产开发经营、科研技术服务、兴办实业(具体项目另行申报)。"
"000025","特力A","1993-06-21","国营或国有控股","","主板","批发业","F51","商业","0006","220281600","投资兴办实业（具体项目另行申报）；经营在已合法取得的土地使用权范围内的房地产开发。国内商业、物资供销业（不含专营、专控、专卖商品）、物业租赁与管理。自营本公司及所属企业自产产品、自用生产材料、金属加工机械、通用零件的进出口业务。进出口业务按深贸管证字第098号外贸审查证书办理。"
"000026","飞亚达","1993-06-03","国营或国有控股","","主板","零售业","F52","商业","0006","392767870","生产经营各种指针式石英表及其机芯、零部件、各种计时仪器，加工批发K金首饰表；国内商业、物资供销（不含专营、专控、专卖商品）；物业管理及物业租赁；自营进出口业务。"
