"StockCode","StockName","NumQuiTraFinReport","AccPeriod","TotAsse"
"000001","平安银行","0","2018-12-31","3420753000000.00"
"000001","平安银行","0","2019-12-31","3939070000000.00"
"000004","国华网安","0","2012-12-31","192913568.86"
"000004","国华网安","0","2013-12-31","238056785.03"
"000004","国华网安","0","2014-12-31","338282581.12"
"000004","国华网安","0","2015-12-31","398673507.14"
"000004","国华网安","0","2017-12-31","268844295.64"
"000004","国华网安","0","2018-12-31","351177470.17"
"000005","世纪星源","0","2010-12-31","1320874800.00"
"000005","世纪星源","0","2012-12-31","1320521381.49"
"000005","世纪星源","0","2013-12-31","1188653949.18"
"000005","世纪星源","0","2015-12-31","2298036800.00"
"000005","世纪星源","0","2016-12-31","2527722000.00"
"000005","世纪星源","0","2017-12-31","2899641100.00"
"000005","世纪星源","0","2018-12-31","3177778900.00"
"000005","世纪星源","0","2019-12-31","3122953500.00"
"000006","深振业A","0","2010-12-31","8450954700.00"
"000006","深振业A","0","2011-12-31","8038171100.00"
"000006","深振业A","0","2012-12-31","9200530500.00"
"000006","深振业A","0","2013-12-31","10079029392.57"
"000006","深振业A","0","2014-12-31","11351431242.91"
"000006","深振业A","0","2015-12-31","12650758024.97"
"000006","深振业A","0","2017-12-31","12814790363.52"
"000006","深振业A","0","2018-12-31","13531016273.58"
"000006","深振业A","0","2019-12-31","15725181921.77"
"000007","全新好","0","2010-12-31","332201060.78"
"000007","全新好","0","2012-12-31","772718400.00"
"000007","全新好","0","2014-12-31","659925200.00"
"000007","全新好","0","2015-12-31","480364500.00"
"000007","全新好","0","2016-12-31","514367695.08"
"000007","全新好","0","2017-12-31","442675157.69"
"000007","全新好","0","2018-12-31","386784795.47"
"000007","全新好","1","2018-12-31","385709995.47"
"000007","全新好","0","2019-12-31","535928576.29"
"000008","神州高铁","0","2015-12-31","3568872500.00"
"000008","神州高铁","0","2018-06-30","9808718223.70"
"000008","神州高铁","0","2019-12-31","12044543142.96"
"000009","中国宝安","0","2011-12-31","11785629478.31"
"000009","中国宝安","0","2013-12-31","13611801387.92"
"000009","中国宝安","0","2018-12-31","29648429347.81"
"000010","美丽生态","0","2010-12-31","212201435.68"
"000010","美丽生态","0","2011-12-31","228193400.00"
"000010","美丽生态","0","2013-12-31","1027782600.00"
"000010","美丽生态","0","2015-12-31","5397182700.00"
"000010","美丽生态","0","2016-12-31","4865760551.42"
"000010","美丽生态","0","2017-12-31","3105153052.01"
"000010","美丽生态","0","2018-12-31","3273278297.36"
"000010","美丽生态","0","2019-12-31","4318378109.70"
"000011","深物业A","0","2010-12-31","2913280000.00"
"000014","沙河股份","0","2010-12-31","1589755396.15"
"000016","深康佳A","0","2010-12-31","17841489131.87"
"000016","深康佳A","0","2011-12-31","16906453313.30"
"000016","深康佳A","0","2019-12-31","42545148773.39"
"000017","*ST 中华A","0","2010-12-31","138158100.00"
"000017","*ST 中华A","0","2012-12-31","162649100.00"
"000017","*ST 中华A","0","2013-12-31","59135300.00"
"000017","*ST 中华A","0","2019-12-31","62734800.00"
"000018","神城A退","0","2010-12-31","195732400.00"
"000018","神城A退","0","2012-12-31","172002557.00"
"000018","神城A退","0","2013-12-31","171250000.00"
"000018","神城A退","0","2017-09-30","10467275219.60"
"000018","神城A退","0","2017-12-31","12543528090.31"
"000018","神城A退","1","2017-12-31","11653249290.29"
"000018","神城A退","0","2018-12-31","12582956042.65"
"000019","深粮控股","0","2010-12-31","658468800.00"
"000019","深粮控股","0","2012-12-31","1221233900.00"
"000019","深粮控股","0","2014-12-31","1154612300.00"
"000019","深粮控股","0","2015-12-31","1060432200.00"
"000019","深粮控股","0","2016-12-31","1178543700.00"
"000019","深粮控股","0","2017-12-31","1070169000.00"
"000019","深粮控股","0","2018-12-31","6474830000.00"
"000020","深华发A","0","2010-12-31","725894300.00"
"000020","深华发A","0","2012-12-31","683694900.00"
"000020","深华发A","0","2019-12-31","614509500.00"
"000021","深科技","0","2013-06-30","11763353777.14"
"000021","深科技","0","2017-12-31","16537049400.00"
"000021","深科技","0","2018-12-31","15539378900.00"
"000023","深天地A","0","2011-12-31","1090351442.65"
"000023","深天地A","0","2013-12-31","1343600000.00"
"000023","深天地A","0","2017-12-31","1951620000.00"
"000023","深天地A","0","2018-12-31","2320490000.00"
"000023","深天地A","0","2019-12-31","2519404000.00"
"000026","飞亚达","0","2012-12-31","3326763800.00"
"000027","深圳能源","0","2010-12-31","29308460000.00"
"000027","深圳能源","0","2011-06-30","32666290000.00"
"000027","深圳能源","0","2011-12-31","32058610000.00"
"000027","深圳能源","0","2012-06-30","31722760000.00"
"000027","深圳能源","0","2012-12-31","32421590000.00"
"000027","深圳能源","1","2013-12-31","33393510000.00"
"000027","深圳能源","0","2013-12-31","32382100000.00"
"000027","深圳能源","0","2014-03-31","34492141300.00"
"000027","深圳能源","0","2014-12-31","38084260000.00"
"000027","深圳能源","0","2015-12-31","55632330000.00"
"000027","深圳能源","0","2016-06-30","59427970000.00"
"000027","深圳能源","0","2016-12-31","60605500000.00"
"000027","深圳能源","0","2017-12-31","75094000000.00"
"000027","深圳能源","0","2018-06-30","78157720000.00"
"000027","深圳能源","0","2018-12-31","86864940000.00"
"000028","国药一致","0","2016-12-31","21312754500.00"
"000028","国药一致","0","2018-12-31","28923689500.00"
