"Stkcd","Reptdt","Stknme","Province","City","A001000000"
"000004","2003-12-31","北大高科","广东省","深圳市","237875156.04"
"000004","2004-12-31","北大高科","广东省","深圳市","214270248.77"
"000004","2005-12-31","国农科技","广东省","深圳市","155868770.91"
"000004","2006-12-31","*ST 国农","广东省","深圳市","204304637.72"
"000004","2007-12-31","ST 国农","广东省","深圳市","169822593.95"
"000004","2008-12-31","ST 国农","广东省","深圳市","167810585.24"
"000004","2009-12-31","*ST 国农","广东省","深圳市","230512058.69"
"000004","2010-12-31","ST 国农","广东省","深圳市","184219435.70"
"000004","2011-12-31","国农科技","广东省","深圳市","196307219.48"
"000004","2012-12-31","国农科技","广东省","深圳市","192913568.86"
"000004","2013-12-31","国农科技","广东省","深圳市","242152079.61"
"000004","2014-12-31","国农科技","广东省","深圳市","338282581.12"
"000004","2015-12-31","国农科技","广东省","深圳市","398673507.14"
"000004","2016-12-31","国农科技","广东省","深圳市","223716293.01"
"000004","2017-12-31","国农科技","广东省","深圳市","268844295.64"
"000004","2018-12-31","国农科技","广东省","深圳市","351177470.17"
"000004","2019-12-31","国农科技","广东省","深圳市","1494490266.24"
"000005","2003-12-31","*ST 星源","广东省","深圳市","1780802380.02"
"000005","2004-12-31","ST 星源","广东省","深圳市","1810609954.83"
"000005","2005-12-31","ST 星源","广东省","深圳市","1643873314.88"
"000005","2006-12-31","ST 星源","广东省","深圳市","1528293791.91"
"000005","2007-12-31","ST 星源","广东省","深圳市","1457023884.59"
"000005","2008-12-31","世纪星源","广东省","深圳市","1389031247.96"
"000005","2009-12-31","世纪星源","广东省","深圳市","1319203895.55"
"000005","2010-12-31","世纪星源","广东省","深圳市","1293608601.28"
"000005","2011-12-31","世纪星源","广东省","深圳市","1260586163.19"
"000005","2012-12-31","世纪星源","广东省","深圳市","1319702418.01"
"000005","2013-12-31","世纪星源","广东省","深圳市","1188653949.18"
"000005","2014-12-31","世纪星源","广东省","深圳市","1366663807.86"
"000005","2015-12-31","世纪星源","广东省","深圳市","2194008790.39"
"000005","2016-12-31","世纪星源","广东省","深圳市","2527235374.10"
"000005","2017-12-31","世纪星源","广东省","深圳市","2912099984.28"
"000005","2018-12-31","世纪星源","广东省","深圳市","3121423378.81"
"000005","2019-12-31","世纪星源","广东省","深圳市","3031840976.34"
"000007","2003-12-31","深达声A","广东省","深圳市","1117684181.10"
"000007","2004-12-31","深达声A","广东省","深圳市","1048420272.23"
"000007","2005-12-31","深达声A","广东省","深圳市","854288325.12"
"000007","2006-12-31","深达声A","广东省","深圳市","805877586.43"
"000007","2007-12-31","ST 达声","广东省","深圳市","737182927.60"
"000007","2008-12-31","ST 达声","广东省","深圳市","610650389.64"
"000007","2009-12-31","ST 达声","广东省","深圳市","363271589.75"
"000007","2010-12-31","ST 零七","广东省","深圳市","332421568.09"
"000007","2011-12-31","ST 零七","广东省","深圳市","362415187.93"
"000007","2012-12-31","零七股份","广东省","深圳市","789680006.50"
"000007","2013-12-31","零七股份","广东省","深圳市","657511920.77"
"000007","2014-12-31","零七股份","广东省","深圳市","680925246.96"
"000007","2015-12-31","零七股份","广东省","深圳市","480364514.33"
"000007","2016-12-31","全新好","广东省","深圳市","514367695.08"
"000007","2017-12-31","全新好","广东省","深圳市","442675592.96"
"000007","2018-12-31","全新好","广东省","深圳市","544709995.47"
"000007","2019-12-31","全新好","广东省","深圳市","533693420.89"
"000008","2003-12-31","*ST 亿安","广东省","深圳市","60455170.60"
"000008","2004-12-31","ST 亿安","广东省","深圳市","90797725.73"
"000008","2005-12-31","G 宝利来","广东省","深圳市","90639371.84"
"000008","2006-12-31","宝利来","广东省","深圳市","76838064.18"
"000008","2007-12-31","*ST 宝投","广东省","深圳市","79087425.07"
"000008","2008-12-31","ST 宝利来","广东省","深圳市","78914423.11"
"000008","2009-12-31","ST 宝利来","广东省","深圳市","79407977.39"
"000008","2010-12-31","ST 宝利来","广东省","深圳市","77932220.92"
"000008","2011-12-31","ST 宝利来","广东省","深圳市","77236597.09"
"000008","2012-12-31","ST 宝利来","广东省","深圳市","613829627.28"
"000008","2013-12-31","宝利来","广东省","深圳市","626625950.69"
"000008","2014-12-31","宝利来","广东省","深圳市","674028043.80"
"000008","2015-12-31","神州高铁","北京市","北京市","3589354694.52"
"000008","2016-12-31","神州高铁","北京市","北京市","8192656625.83"
"000008","2017-12-31","神州高铁","北京市","北京市","10678315229.70"
"000008","2018-12-31","神州高铁","北京市","北京市","10466364830.02"
"000008","2019-12-31","神州高铁","北京市","北京市","12044543142.96"
"000009","2003-12-31","深宝安A","广东省","深圳市","4261211167.03"
"000009","2004-12-31","深宝安A","广东省","深圳市","4969875854.64"
"000009","2005-12-31","深宝安A","广东省","深圳市","4888128054.63"
"000009","2006-12-31","S 深宝安A","广东省","深圳市","5511022276.51"
"000009","2007-12-31","S 深宝安A","广东省","深圳市","5839299723.36"
"000009","2008-12-31","中国宝安","广东省","深圳市","6083789715.61"
"000009","2009-12-31","中国宝安","广东省","深圳市","7502009658.62"
"000009","2010-12-31","中国宝安","广东省","深圳市","10024647811.49"
"000009","2011-12-31","中国宝安","广东省","深圳市","11785629478.31"
"000009","2012-12-31","中国宝安","广东省","深圳市","13171329970.76"
"000009","2013-12-31","中国宝安","广东省","深圳市","13611801387.92"
"000009","2014-12-31","中国宝安","广东省","深圳市","14725495570.64"
"000009","2015-12-31","中国宝安","广东省","深圳市","18113933205.77"
"000009","2016-12-31","中国宝安","广东省","深圳市","21622925841.20"
"000009","2017-12-31","中国宝安","广东省","深圳市","27109464910.13"
"000009","2018-12-31","中国宝安","广东省","深圳市","29849801106.40"
"000009","2019-12-31","中国宝安","广东省","深圳市","30209805595.97"
"000010","2003-12-31","深华新","广东省","深圳市","866781212.64"
"000010","2004-12-31","深华新","广东省","深圳市","862143244.04"
"000010","2005-12-31","深华新","广东省","深圳市","353452049.51"
"000010","2006-12-31","S*ST 华新","广东省","深圳市","244019420.30"
"000010","2007-12-31","SST 华新","广东省","深圳市","285949798.35"
"000010","2008-12-31","SST 华新","广东省","深圳市","202106656.23"
"000010","2009-12-31","SST 华新","广东省","深圳市","231855187.75"
"000010","2010-12-31","SST 华新","广东省","北京市","212201435.68"
"000010","2011-12-31","SST 华新","北京市","北京市","238257898.64"
"000010","2012-12-31","SST 华新","北京市","北京市","239779833.32"
"000010","2013-12-31","深华新","北京市","北京市","1027789609.41"
"000010","2014-12-31","深华新","北京市","北京市","804218432.41"
"000010","2015-12-31","深华新","北京市","北京市","5162182903.59"
"000010","2016-12-31","美丽生态","广东省","深圳市","4853287591.16"
"000010","2017-12-31","美丽生态","广东省","深圳市","3105153052.01"
"000010","2018-12-31","美丽生态","广东省","深圳市","3273278297.36"
"000010","2019-12-31","*ST 美丽","广东省","深圳市","4291660034.27"
"000012","2003-12-31","南玻A","广东省","深圳市","3516065351.00"
"000012","2004-12-31","南玻A","广东省","深圳市","4740610244.00"
"000012","2005-12-31","南玻A","广东省","深圳市","5523323511.00"
"000012","2006-12-31","南玻A","广东省","深圳市","6772237421.00"
"000012","2007-12-31","南玻A","广东省","深圳市","8452981947.00"
"000012","2008-12-31","南玻A","广东省","深圳市","10376061066.00"
"000012","2009-12-31","南玻A","广东省","深圳市","10913350017.00"
"000012","2010-12-31","南玻A","广东省","深圳市","12469619167.00"
"000012","2011-12-31","南玻A","广东省","深圳市","15281391077.00"
"000012","2012-12-31","南玻A","广东省","深圳市","14335809746.00"
"000012","2013-12-31","南玻A","广东省","深圳市","15078866777.00"
"000012","2014-12-31","南玻A","广东省","深圳市","15284388305.00"
"000012","2015-12-31","南玻A","广东省","深圳市","15657180160.00"
"000012","2016-12-31","南玻A","广东省","深圳市","17146815630.00"
"000012","2017-12-31","南玻A","广东省","深圳市","19535002368.00"
"000012","2018-12-31","南玻A","广东省","深圳市","19114234184.00"
"000012","2019-12-31","南玻A","广东省","深圳市","18201235959.00"
"000013","2003-12-31","*ST 石化A","广东省","深圳市","212618769.20"
"000017","2003-12-31","ST 中华A","广东省","深圳市","444849741.24"
"000017","2004-12-31","ST 中华A","广东省","深圳市","427572002.72"
"000017","2005-12-31","*ST 中华A","广东省","深圳市","328877255.91"
"000017","2006-12-31","S*ST 中华","广东省","深圳市","267021538.95"
"000017","2007-12-31","SST 中华A","广东省","深圳市","214381530.57"
