"Stkcd","Stknme","Listdt","Crcd","Listexg","Regadd","Regplc"
"200002","深万科B","1991-01-29","000002","2","广东省深圳市福田区梅林路63号万科建筑研究中心","广东省深圳市"
"200003","深金田B","1991-07-03","000003","2","广东省深圳市和平路1199号金田大厦23-26楼","广东省深圳市"
"200011","深物业B","1992-03-30","000011","2","广东省深圳市人民南路国贸大厦39、42层","广东省深圳市"
"200012","深南玻B","1992-02-28","000012","2","广东省深圳市蛇口工业区六路一号南玻大厦","广东省深圳市"
"200013","深石化B","1992-05-06","000013","2","广东省深圳市福田区红荔西路石化大厦","广东省深圳市"
"200015","深中浩B","1992-06-25","000015","2","广东省深圳市八卦四路中浩大厦","广东省深圳市"
"200016","深康佳B","1992-03-27","000016","2","广东省深圳市华侨城东部工业区","广东省深圳市"
"200017","深中华B","1992-03-31","000017","2","广东省深圳市布心路三零零八号","广东省深圳市"
"200018","深中冠B","1992-06-16","000018","2","广东省深圳市人民南路房地产大厦十楼C座","广东省深圳市"
"200019","深深宝B","1992-10-12","000019","2","广东省深圳市罗湖区文锦北路1058号","广东省深圳市"
"200020","深华发B","1992-04-28","000020","2","广东省深圳市福田区华发北路411幢","广东省深圳市"
"200022","深赤湾B","1993-05-05","000022","2","广东省深圳市赤湾港石油大厦12楼","广东省深圳市"
"200024","深招港B","1993-06-07","000024","2","广东省深圳市蛇口工业区新时代广场30楼","广东省深圳市"
"200025","深特力B","1993-06-21","000025","2","广东省深圳市罗湖区水贝二路56号特力大厦三楼","广东省深圳市"
"200026","飞亚达B","1993-06-03","000026","2","广东省深圳市福田区振华路163号飞亚达大厦","广东省深圳市"
"200028","深益力B","1993-08-09","000028","2","广东省深圳市人民南路国际贸易中心大厦11楼","广东省深圳市"
"200029","深深房B","1993-09-15","000029","2","广东省深圳市人民南路3005号深房广场47楼","广东省深圳市"
"200030","莱英达B","1993-09-29","000030","2","广东省深圳市华强北路","广东省深圳市"
"200037","深南电B","1994-07-01","000037","2","广东省深圳市南山区月亮湾大道18号","广东省深圳市"
"200039","深中集B","1994-03-23","000039","2","广东省深圳市蛇口工业区金融中心五楼","广东省深圳市"
"200041","深本实B","1994-05-30","","2","广东省深圳市南山区南油中兴工业城11栋","广东省深圳市"
