"Stkcd","Stknme","Annctime","Type","Suspdate","Resmdate","Timeperd"
"000002","万科A","2017-01-12","1","2017-01-12","2017-01-13","4.00"
"000002","万科A","2017-06-07","1","2017-06-07","2017-06-12","12.00"
"000002","万科A","2017-07-14","1","2017-07-14","2017-07-18","6.00"
"000004","国农科技","2017-04-05","1","2017-04-05","2017-06-15","192.00"
"000004","国农科技","2018-10-08","1","2018-10-08","2018-10-29","60.00"
"000004","国农科技","2019-03-26","1","2019-03-26","2019-04-10","40.00"
"000004","国农科技","2019-11-06","1","2019-11-06","2019-11-07","4.00"
"000006","深振业A","2017-09-11","1","2017-09-11","2018-03-08","468.00"
"000007","全新好","2017-01-16","1","2017-01-16","2017-07-17","480.00"
"000007","全新好","2017-10-09","1","2017-10-09","2018-03-09","412.00"
"000007","全新好","2018-06-14","1","2018-06-14","2018-06-29","40.00"
"000008","神州高铁","2016-10-10","1","2016-10-10","2016-10-24","40.00"
"000008","神州高铁","2017-09-18","1","2017-09-18","2017-09-19","4.00"
"000008","神州高铁","2018-04-17","1","2018-04-17","2018-05-02","36.00"
"000008","神州高铁","2018-06-06","1","2018-06-06","2018-08-07","172.00"
"000008","神州高铁","2018-11-07","1","2018-11-07","2018-11-12","12.00"
"000010","美丽生态","2019-04-25","1","2019-04-25","2019-04-26","4.00"
"000010","*ST 美丽","2020-07-21","1","2020-07-21","2020-07-22","4.00"
"000018","神州长城","2016-06-24","1","2016-06-24","2016-07-11","44.00"
"000018","神州长城","2018-02-01","1","2018-02-01","2018-02-22","38.00"
"000018","神州长城","2019-04-30","1","2019-04-30","2019-05-06","4.00"
"000018","*ST 神城","2019-10-31","1","2019-10-31","2019-11-25","68.00"
"000018","神城A退","2020-01-07","2","2020-01-07","","-8888.00"
"000019","深深宝A","2017-08-22","1","2017-08-22","2018-04-04","600.00"
"000019","深深宝A","2018-09-13","1","2018-09-13","2018-09-25","28.00"
"000020","深华发A","2017-05-31","1","2017-05-31","2017-08-25","248.00"
"000020","深华发A","2017-11-22","1","2017-11-22","2017-11-29","20.00"
